Time	S1	S2	S3	
5.10596	0.0106872	0.0952302	0.270592	
5.14178	0.0107237	0.0952586	0.270421	
5.17782	0.0107126	0.0952592	0.270221	
5.21414	0.0107335	0.0952886	0.270037	
5.25069	0.0107429	0.0953282	0.269866	
5.2875	0.0107923	0.0953959	0.269706	
5.32457	0.0108586	0.0954014	0.269541	
5.3619	0.0109041	0.0954051	0.269353	
5.39948	0.0109144	0.0954469	0.269181	
5.43733	0.0109505	0.0954994	0.269044	
5.47542	0.0110058	0.0955272	0.268903	
5.5138	0.0110525	0.0955784	0.268726	
5.55244	0.011057	0.0955619	0.268513	
5.59134	0.0110386	0.0956082	0.268351	
5.63051	0.0110669	0.0956337	0.268195	
5.66995	0.0110917	0.0956774	0.268045	
5.70967	0.0110855	0.0956523	0.267851	
5.74966	0.0110595	0.0956617	0.267659	
5.78994	0.0110436	0.0956936	0.267501	
5.83049	0.0110386	0.0957335	0.267338	
5.87131	0.0110584	0.0957279	0.267145	
5.91244	0.0110489	0.0957112	0.266936	
5.95384	0.0110534	0.095723	0.266746	
5.99551	0.0110909	0.095769	0.266601	
6.03749	0.0111173	0.0957709	0.266442	
6.07976	0.0111272	0.0957462	0.26625	
6.12231	0.0111068	0.0957727	0.266089	
6.16517	0.0111526	0.0958133	0.265945	
6.20832	0.0111628	0.0958274	0.265776	
6.25177	0.0111766	0.0958322	0.265592	
6.29553	0.0111601	0.0958599	0.265394	
6.33957	0.0111991	0.095897	0.265238	
6.38394	0.0112275	0.0959474	0.265076	
6.4286	0.0112477	0.0959344	0.264893	
6.47358	0.011242	0.0959646	0.264731	
6.51888	0.011288	0.095999	0.264557	
6.56448	0.0113484	0.0960476	0.264384	
6.61039	0.0113483	0.0960458	0.264159	
6.65662	0.0113496	0.0960554	0.263956	
6.70319	0.0114086	0.0961107	0.263811	
6.75006	0.0114344	0.0961194	0.263625	
6.79728	0.0114221	0.0961051	0.263415	
6.8448	0.011418	0.0961469	0.263263	
6.89266	0.0114703	0.0961813	0.263104	
6.94086	0.011475	0.0961978	0.262934	
6.98939	0.0114328	0.0961743	0.262746	
7.03825	0.011443	0.0962212	0.262611	
7.08745	0.0114752	0.0962715	0.262457	
7.137	0.0114831	0.0962506	0.262223	
7.18689	0.0115005	0.0963001	0.262053	
7.23711	0.0115593	0.0963587	0.261888	
7.2877	0.0115962	0.096407	0.261718	
7.33862	0.0116121	0.0964343	0.261514	
7.38991	0.0116518	0.0964829	0.261337	
7.44155	0.0116916	0.0964924	0.261169	
7.49355	0.0116862	0.0964549	0.260992	
7.54591	0.0116693	0.0964537	0.26082	
7.59864	0.0117108	0.0965098	0.260678	
7.65172	0.0117212	0.0965629	0.26051	
7.70517	0.0116996	0.096564	0.260326	
